name	SUPER_PATHWAY	SUB_PATHWAY	label
P::1,11-Undecanedicarboxylic acid	P::Lipid	P::Fatty acid, dicarboxylate	P::1,11-Undecanedicarboxylic acid
P::1,2-dipalmitoylglycerol	P::Lipid	P::Diacylglycerol	P::1,2-dipalmitoylglycerol
P::1,2-propanediol	P::Lipid	P::Ketone bodies	P::1,2-propanediol
P::1,3,7-trimethylurate	P::Xenobiotics	P::Xanthine metabolism	P::1,3,7-trimethylurate
P::1,3-dihydroxyacetone	P::Carbohydrate	P::Glycolysis, gluconeogenesis, pyruvate metabolism	P::1,3-dihydroxyacetone
P::1,3-dipalmitoylglycerol	P::Lipid	P::Diacylglycerol	P::1,3-dipalmitoylglycerol
P::1,5-anhydroglucitol (1,5-AG)	P::Carbohydrate	P::Glycolysis, gluconeogenesis, pyruvate metabolism	P::1,5-anhydroglucitol (1,5-AG)
P::1,7-dimethylurate	P::Xenobiotics	P::Xanthine metabolism	P::1,7-dimethylurate
P::1-arachidonoylglycerophosphocholine*	P::Lipid	P::Lysolipid	P::1-arachidonoylglycerophosphocholine*
P::1-arachidonoylglycerophosphoethanolamine*	P::Lipid	P::Lysolipid	P::1-arachidonoylglycerophosphoethanolamine*
P::1-arachidonoylglycerophosphoinositol*	P::Lipid	P::Lysolipid	P::1-arachidonoylglycerophosphoinositol*
P::1-docosahexaenoylglycerophosphocholine*	P::Lipid	P::Lysolipid	P::1-docosahexaenoylglycerophosphocholine*
P::1-docosapentaenoylglycerophosphocholine*	P::Lipid	P::Lysolipid	P::1-docosapentaenoylglycerophosphocholine*
P::1-eicosadienoylglycerophosphocholine*	P::Lipid	P::Lysolipid	P::1-eicosadienoylglycerophosphocholine*
P::1-eicosatrienoylglycerophosphocholine*	P::Lipid	P::Lysolipid	P::1-eicosatrienoylglycerophosphocholine*
P::1-heptadecanoylglycerophosphocholine	P::Lipid	P::Lysolipid	P::1-heptadecanoylglycerophosphocholine
P::1-linoleoylglycerophosphocholine	P::Lipid	P::Lysolipid	P::1-linoleoylglycerophosphocholine
P::1-linoleoylglycerophosphoethanolamine*	P::Lipid	P::Lysolipid	P::1-linoleoylglycerophosphoethanolamine*
P::1-methylurate	P::Xenobiotics	P::Xanthine metabolism	P::1-methylurate
P::1-methylxanthine	P::Xenobiotics	P::Xanthine metabolism	P::1-methylxanthine
P::1-myristoylglycerophosphocholine	P::Lipid	P::Lysolipid	P::1-myristoylglycerophosphocholine
P::1-oleoylglycerol (1-monoolein)	P::Lipid	P::Monoacylglycerol	P::1-oleoylglycerol (1-monoolein)
P::1-oleoylglycerophosphocholine	P::Lipid	P::Lysolipid	P::1-oleoylglycerophosphocholine
P::1-oleoylglycerophosphoethanolamine	P::Lipid	P::Lysolipid	P::1-oleoylglycerophosphoethanolamine
P::1-palmitoleoylglycerophosphocholine*	P::Lipid	P::Lysolipid	P::1-palmitoleoylglycerophosphocholine*
P::1-palmitoylglycerol (1-monopalmitin)	P::Lipid	P::Monoacylglycerol	P::1-palmitoylglycerol (1-monopalmitin)
P::1-palmitoylglycerophosphocholine	P::Lipid	P::Lysolipid	P::1-palmitoylglycerophosphocholine
P::1-palmitoylglycerophosphoethanolamine	P::Lipid	P::Lysolipid	P::1-palmitoylglycerophosphoethanolamine
P::1-palmitoylglycerophosphoinositol*	P::Lipid	P::Lysolipid	P::1-palmitoylglycerophosphoinositol*
P::1-pentadecanoylglycerophosphocholine*	P::Lipid	P::Lysolipid	P::1-pentadecanoylglycerophosphocholine*
P::1-stearoylglycerophosphocholine	P::Lipid	P::Lysolipid	P::1-stearoylglycerophosphocholine
P::1-stearoylglycerophosphoethanolamine	P::Lipid	P::Lysolipid	P::1-stearoylglycerophosphoethanolamine
P::1-stearoylglycerophosphoinositol	P::Lipid	P::Lysolipid	P::1-stearoylglycerophosphoinositol
P::10-heptadecenoate (17:1n7)	P::Lipid	P::Long chain fatty acid	P::10-heptadecenoate (17:1n7)
P::10-nonadecenoate (19:1n9)	P::Lipid	P::Long chain fatty acid	P::10-nonadecenoate (19:1n9)
P::10-undecenoate (11:1n1)	P::Lipid	P::Medium chain fatty acid	P::10-undecenoate (11:1n1)
P::13-HODE + 9-HODE	P::Lipid	P::Fatty acid, monohydroxy	P::13-HODE + 9-HODE
P::15-methylpalmitate (isobar with 2-methylpalmitate)	P::Lipid	P::Fatty acid, branched	P::15-methylpalmitate (isobar with 2-methylpalmitate)
P::17-methylstearate	P::Lipid	P::Fatty acid, branched	P::17-methylstearate
P::2-aminobutyrate	P::Amino acid	P::Butanoate metabolism	P::2-aminobutyrate
P::2-arachidonoylglycerophosphocholine*	P::Lipid	P::Lysolipid	P::2-arachidonoylglycerophosphocholine*
P::2-arachidonoylglycerophosphoethanolamine*	P::Lipid	P::Lysolipid	P::2-arachidonoylglycerophosphoethanolamine*
