from	to	Correlation	p-Value
P::1,2-dipalmitoylglycerol	P::1,3-dipalmitoylglycerol	0.09973246	2.22E-16
P::1,3,7-trimethylurate	P::1,7-dimethylurate	0.053225769	1.49E-09
P::1-arachidonoylglycerophosphocholine*	P::1-docosahexaenoylglycerophosphocholine*	0.055122676	3.83E-10
P::1-arachidonoylglycerophosphocholine*	P::1-docosapentaenoylglycerophosphocholine*	0.074126976	2.22E-16
P::1-arachidonoylglycerophosphocholine*	P::1-eicosatrienoylglycerophosphocholine*	0.049942759	1.41E-08
P::1-docosapentaenoylglycerophosphocholine*	P::1-eicosatrienoylglycerophosphocholine*	0.074522828	2.22E-16
P::1-eicosadienoylglycerophosphocholine*	P::1-eicosatrienoylglycerophosphocholine*	0.048237058	4.31E-08
P::1-eicosadienoylglycerophosphocholine*	P::1-heptadecanoylglycerophosphocholine	0.073675983	2.22E-16
P::1-arachidonoylglycerophosphocholine*	P::1-linoleoylglycerophosphocholine	0.051134638	6.35E-09
P::1-arachidonoylglycerophosphoethanolamine*	P::1-linoleoylglycerophosphoethanolamine*	0.116416465	2.22E-16
P::1-methylurate	P::1-methylxanthine	0.078251261	2.22E-16
P::1-eicosadienoylglycerophosphocholine*	P::1-oleoylglycerophosphocholine	0.060297009	7.41E-12
P::1-eicosatrienoylglycerophosphocholine*	P::1-oleoylglycerophosphocholine	0.051481019	5.02E-09
P::1-heptadecanoylglycerophosphocholine	P::1-oleoylglycerophosphocholine	0.051626383	4.54E-09
P::1-myristoylglycerophosphocholine	P::1-palmitoleoylglycerophosphocholine*	0.061782325	2.24E-12
P::1,2-dipalmitoylglycerol	P::1-palmitoylglycerol (1-monopalmitin)	0.065097146	1.40E-13
P::1,3-dipalmitoylglycerol	P::1-palmitoylglycerol (1-monopalmitin)	0.073208439	2.22E-16
P::1-oleoylglycerol (1-monoolein)	P::1-palmitoylglycerol (1-monopalmitin)	0.04932803	2.12E-08
P::1-heptadecanoylglycerophosphocholine	P::1-palmitoylglycerophosphocholine	0.049346961	2.09E-08
P::1-linoleoylglycerophosphocholine	P::1-palmitoylglycerophosphocholine	0.049470833	1.93E-08
P::1-oleoylglycerophosphocholine	P::1-palmitoylglycerophosphocholine	0.051698415	4.32E-09
P::1-oleoylglycerophosphoethanolamine	P::1-palmitoylglycerophosphoethanolamine	0.115973278	2.22E-16
P::1-myristoylglycerophosphocholine	P::1-pentadecanoylglycerophosphocholine*	0.052689461	2.18E-09
P::1-palmitoleoylglycerophosphocholine*	P::1-pentadecanoylglycerophosphocholine*	0.055789263	2.35E-10
P::1-palmitoylglycerophosphocholine	P::1-pentadecanoylglycerophosphocholine*	0.053727085	1.05E-09
P::1-eicosadienoylglycerophosphocholine*	P::1-stearoylglycerophosphocholine	0.055207172	3.60E-10
P::1-heptadecanoylglycerophosphocholine	P::1-stearoylglycerophosphocholine	0.067514364	1.69E-14
P::1-oleoylglycerophosphocholine	P::1-stearoylglycerophosphocholine	0.051921299	3.71E-09
P::1-palmitoylglycerophosphocholine	P::1-stearoylglycerophosphocholine	0.04912006	2.43E-08
P::1-arachidonoylglycerophosphoinositol*	P::1-stearoylglycerophosphoinositol	0.061384369	3.10E-12
P::1-palmitoylglycerophosphoethanolamine	P::1-stearoylglycerophosphoinositol	0.056971292	9.73E-11
P::10-heptadecenoate (17:1n7)	P::15-methylpalmitate (isobar with 2-methylpalmitate)	0.04953133	1.86E-08
P::10-nonadecenoate (19:1n9)	P::15-methylpalmitate (isobar with 2-methylpalmitate)	0.049113705	2.44E-08
P::15-methylpalmitate (isobar with 2-methylpalmitate)	P::17-methylstearate	0.067477951	1.75E-14
P::1-arachidonoylglycerophosphocholine*	P::2-arachidonoylglycerophosphocholine*	0.086851988	2.22E-16
P::1-docosapentaenoylglycerophosphocholine*	P::2-arachidonoylglycerophosphocholine*	0.048304102	4.12E-08
P::1-arachidonoylglycerophosphoethanolamine*	P::2-arachidonoylglycerophosphoethanolamine*	0.099429119	2.22E-16
P::1-linoleoylglycerophosphoethanolamine*	P::2-arachidonoylglycerophosphoethanolamine*	0.054528212	5.89E-10
P::1-docosahexaenoylglycerophosphocholine*	P::2-docosahexaenoylglycerophosphoethanolamine*	0.058039225	4.32E-11
P::2-arachidonoylglycerophosphocholine*	P::2-docosahexaenoylglycerophosphoethanolamine*	0.058683833	2.63E-11
P::1-arachidonoylglycerophosphocholine*	P::2-docosapentaenoylglycerophosphocholine*	0.057321515	7.47E-11
P::1-docosahexaenoylglycerophosphocholine*	P::2-docosapentaenoylglycerophosphocholine*	0.053272854	1.44E-09
P::1-eicosatrienoylglycerophosphocholine*	P::2-docosapentaenoylglycerophosphocholine*	0.048412365	3.85E-08
P::2-aminobutyrate	P::2-hydroxybutyrate (AHB)	0.051191704	6.11E-09
P::1,11-Undecanedicarboxylic acid	P::2-hydroxydecanoic acid	0.074782656	2.22E-16
P::1-arachidonoylglycerophosphoinositol*	P::2-hydroxypalmitate	0.058172687	3.90E-11
P::1-stearoylglycerophosphoinositol	P::2-hydroxystearate	0.051723706	4.25E-09
P::2-hydroxypalmitate	P::2-hydroxystearate	0.131288484	2.22E-16
P::1-linoleoylglycerophosphocholine	P::2-linoleoylglycerophosphocholine*	0.073132878	2.22E-16
P::1-arachidonoylglycerophosphoethanolamine*	P::2-linoleoylglycerophosphoethanolamine*	0.052933194	1.83E-09
P::1-linoleoylglycerophosphoethanolamine*	P::2-linoleoylglycerophosphoethanolamine*	0.103240137	2.22E-16
P::2-arachidonoylglycerophosphoethanolamine*	P::2-linoleoylglycerophosphoethanolamine*	0.052566049	2.37E-09
P::1-myristoylglycerophosphocholine	P::2-myristoylglycerophosphocholine*	0.090307559	2.22E-16
P::1-docosapentaenoylglycerophosphocholine*	P::2-oleoylglycerophosphocholine*	0.058194118	3.84E-11
P::1-eicosatrienoylglycerophosphocholine*	P::2-oleoylglycerophosphocholine*	0.072504724	2.22E-16
P::1-oleoylglycerophosphocholine	P::2-oleoylglycerophosphocholine*	0.07704887	2.22E-16
P::1-palmitoylglycerophosphocholine	P::2-oleoylglycerophosphocholine*	0.057781627	5.26E-11
P::1-arachidonoylglycerophosphoethanolamine*	P::2-oleoylglycerophosphoethanolamine*	0.057245123	7.91E-11
P::1-linoleoylglycerophosphoethanolamine*	P::2-oleoylglycerophosphoethanolamine*	0.079907658	2.22E-16
P::1-oleoylglycerophosphoethanolamine	P::2-oleoylglycerophosphoethanolamine*	0.084221601	2.22E-16
P::1-palmitoylglycerophosphoethanolamine	P::2-oleoylglycerophosphoethanolamine*	0.159526298	2.22E-16
P::1-stearoylglycerophosphoinositol	P::2-oleoylglycerophosphoethanolamine*	0.060059388	8.94E-12
P::1-myristoylglycerophosphocholine	P::2-palmitoleoylglycerophosphocholine*	0.064024374	3.49E-13
P::1-palmitoleoylglycerophosphocholine*	P::2-palmitoleoylglycerophosphocholine*	0.089882369	2.22E-16
P::2-myristoylglycerophosphocholine*	P::2-palmitoleoylglycerophosphocholine*	0.056873031	1.05E-10
P::1-linoleoylglycerophosphocholine	P::2-palmitoylglycerophosphocholine*	0.0537646	1.02E-09
P::1-palmitoylglycerophosphocholine	P::2-palmitoylglycerophosphocholine*	0.066312491	4.91E-14
P::1-pentadecanoylglycerophosphocholine*	P::2-palmitoylglycerophosphocholine*	0.0495983	1.78E-08
P::2-oleoylglycerophosphocholine*	P::2-palmitoylglycerophosphocholine*	0.051539874	4.82E-09
P::1-arachidonoylglycerophosphoethanolamine*	P::2-palmitoylglycerophosphoethanolamine*	0.092706898	2.22E-16
P::1-linoleoylglycerophosphoethanolamine*	P::2-palmitoylglycerophosphoethanolamine*	0.119030401	2.22E-16
P::1-palmitoylglycerophosphoethanolamine	P::2-palmitoylglycerophosphoethanolamine*	0.108090922	2.22E-16
P::1-stearoylglycerophosphoinositol	P::2-palmitoylglycerophosphoethanolamine*	0.062429795	1.32E-12
P::2-oleoylglycerophosphoethanolamine*	P::2-palmitoylglycerophosphoethanolamine*	0.110414466	2.22E-16
P::1-eicosadienoylglycerophosphocholine*	P::2-stearoylglycerophosphocholine*	0.071913336	4.44E-16
P::1-heptadecanoylglycerophosphocholine	P::2-stearoylglycerophosphocholine*	0.086039369	2.22E-16
